CATEGORY,COUNTRY,FAC_NAME,FAC_STATUS,FAC_TYPE,OGIM_STATUS,lon,lat
Natural gas flaring detections,Algeria,,,Lng facility,,-0.23836124681194945,35.80881992789923
Natural gas flaring detections,Algeria,,,Lng facility,,6.946432212068523,36.87725175401224
Natural gas flaring detections,Angola,,,Lng facility,,12.341859763818023,-6.1191797846332445
Natural gas flaring detections,Angola,,,Lng facility,,12.331849081953035,-6.11597815007687
Natural gas flaring detections,Australia,,,Lng facility,,115.45092872554837,-20.78922093137537
Natural gas flaring detections,Australia,,,Lng facility,,130.86514032889795,-12.523251535571145
Natural gas flaring detections,Australia,,,Lng facility,,114.99717060234971,-21.696268972162066
Natural gas flaring detections,Australia,,,Lng facility,,116.78031160441006,-20.595651354645284
Natural gas flaring detections,Australia,,,Lng facility,,116.76795989449204,-20.61408081929918
Natural gas flaring detections,Australia,,,Lng facility,,116.76144068875188,-20.612359606292546
Natural gas flaring detections,Brunei darussalam,,,Lng facility,,114.4640404803997,4.670680939330833
Natural gas flaring detections,Egypt,,,Lng facility,,31.74360018870634,31.47642868998807
Natural gas flaring detections,Equatorial guinea,,,Lng facility,,8.702791853201893,3.7782186180899595
Natural gas flaring detections,Indonesia,,,Lng facility,,97.09119103482927,5.226432080924952
Natural gas flaring detections,Indonesia,,,Lng facility,,117.47113783511516,0.09591080455856738
Natural gas flaring detections,Indonesia,,,Lng facility,,117.47054923377614,0.10693816146373905
Natural gas flaring detections,Indonesia,,,Lng facility,,122.59204083050928,-1.248240616992158
Natural gas flaring detections,Indonesia,,,Lng facility,,133.1400622088397,-2.438972207698025
Natural gas flaring detections,Libya,,,Lng facility,,19.597040132827132,30.40735921242442
Natural gas flaring detections,Nigeria,,,Lng facility,,7.155439196645638,4.423651200070984
Natural gas flaring detections,Norway,,,Lng facility,,23.59903873728428,70.68819820952136
Natural gas flaring detections,Oman,,,Lng facility,,59.41065006244297,22.66017055138019
Natural gas flaring detections,Qatar,,,Lng facility,,51.55153796495725,25.90504055156855
Natural gas flaring detections,Qatar,,,Lng facility,,51.53902126830023,25.88524214289125
Natural gas flaring detections,Russian federation,,,Lng facility,,28.130350473189658,60.5219516860838
Natural gas flaring detections,Russian federation,,,Lng facility,,72.08538171990072,71.27200155584272
Natural gas flaring detections,United arab emirates,,,Lng facility,,52.87725992185408,25.164299143671176
Natural gas flaring detections,Yemen,,,Lng facility,,48.17775981241483,13.985310507177088
Natural gas flaring detections,Turkmenistan,,,Upstream oil,,52.76963951792917,40.16953091660083
