COUNTRY,FAC_NAME,Original_NAME,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,AB LNG,Arzew-bethioua lng terminal,523.67,568.35,788.19,502.95,541.06,301.17,365.14,374.46,504.49,418.09,447.52
Algeria,Skikda,Skikda lng terminal,,,,,,,,101.41,146.03,111.53,74.84
Angola,Angola LNG,Angola lng terminal,80.24,176.34,75.93,42.86,374.72,56.9,29.79,43.11,45.67,62.83,48.69
Argentina,Bahia Blanca FLNG,Bahia blanca flng export terminal,,,,,,,,15.01,16.21,18.75,12.1
Australia,"AP LNG, Gladstone, QC LNG",Australia pacific lng terminal,,,,,,,,,25.2,20.69,31.33
Australia,Darwin LNG,Darwin lng terminal,,,,,,,21.8,18.9,12.39,18.28,12.13
Australia,Gorgon LNG,Gorgon lng terminal,,,,,,,,,,18.9,12.39
Australia,Ichthys FLNG,Ichthys flng terminal,,,,,,,21.8,18.9,12.39,18.28,0.47
Australia,North West Shelf,North west shelf lng terminal,108.02,190.32,72.82,78.27,42.64,90.06,52.17,27.71,24.76,17.47,26.29
Australia,Pluto LNG,Pluto lng terminal,232.3,121.84,32.08,52,15.04,20.45,12.68,21.33,20.49,22.27,14.25
Australia,Prelude FLNG,Prelude flng terminal,,,,,,,,305.49,61.56,80.94,82.93
Australia,Wheatstone LNG,Wheatstone lng terminal,,,,,,,,,39.11,63.57,58.32
Brunei Darussalam,Brunei LNG,Brunei lng terminal,79.33,49.85,85.05,94.48,69.97,77.06,35.28,43.53,1.2,4.96,12.47
Cameroon,Cameroon FLNG,Cameroon flng terminal,,,,,,,35.75,2.19,1.96,1.97,0
Canada,Fort Nelson LNG,Fort nelson lng terminal,,,,,,,,,,,
Canada,Tilbury Island LNG,Tilbury island lng terminal,,,,,,,,,,,
Egypt,Damietta LNG,Damietta segas lng terminal,38.98,20.2,27.17,15.41,8.61,6.58,7,15.93,6.85,45.58,52.71
Egypt,ELNG,Egyptian lng terminal,69.67,52.1,79.85,49.58,49.46,36.26,34.31,62.28,51.52,187.03,53.76
Equatorial Guinea,PE LNG,Punta europa lng terminal,22.28,33.09,27.99,27.78,40.21,30.3,22.36,23.12,18.31,0.54,19.13
Indonesia,Bontang LNG,Bontang lng terminal,177.5,160.42,162.36,169.65,94.88,170.23,85.71,83.32,71.18,27.04,25.28
Indonesia,DS LNG,Donggi senoro lng terminal,,,,,,,,2.66,1.7,1.73,1.2
Indonesia,Tangguh LNG,Tangguh lng terminal,,,,,,,,,,25.85,9.73
Libya,Marsa LNG,Marsa el brega lng terminal,,,,,,,,,,,173.18
Malaysia,DF LNG,Dua flng terminal,,,,,,,,,,,
Malaysia,"MLNG, DM LNG, SM LNG, TM LNG",Malaysia lng terminal,77.85,85.12,60.57,175.18,162.05,114.55,76.47,100.83,223.68,24.82,15.28
Malaysia,Satu FLNG,Satu flng terminal,,,,,,,,,,,
Mozambique,CS FLNG,Coral south flng terminal,,,,,,,,,,,422.38
Nigeria,Greenville LNG,Greenville lng terminal,,,,,,,,,,,
Nigeria,NLNG,Nigeria lng terminal,40.68,,,,,,,,,79.18,77.2
Norway,Snohvit,Hammerfest lng snohvit terminal,21.3,23.63,30.23,38.45,18.23,14.71,4.55,2.76,18.84,24.27,1.85
Norway,Kollsnes LNG,Kollsnes lng terminal,,,,,,,,,,,
Norway,Risavika LNG,Risavika lng terminal,,,,,,,,,,,
Norway,Snurrevarden LNG,Snurrevarden lng terminal,,,,,,,,,,,
Norway,Tjelbergodden LNG,Tjelbergodden lng terminal,,,,,,,,,,,
Oman,Qalhat LNG,Oman qalhat lng terminal,30.2,30.75,31.41,26.02,39.09,26.66,18.51,17.77,22.88,29.77,19.41
Papua New Guinea,PNG LNG,Papua new guinea lng terminal,0,3.41,225.48,23.03,17.03,12.42,24.39,8.09,7.9,13.64,13.03
Peru,Peru LNG,Peru lng terminal,2.21,2.16,2.72,4.62,3.72,1.13,2.58,2.07,2.93,10.67,7.49
Qatar,Qatargas,Qatargas ras laffan lng terminal,237.64,185.32,127.06,156.71,105.42,106.35,129.55,102.47,176.91,129.23,87.94
Qatar,Rasgas,Rasgas lng terminal,220,180.05,180.58,156.71,66.06,81.27,70.38,83.11,64.91,87.49,50.57
Russia,"Vysotsk LNG, PO LNG",Portovaya lng terminal,,,,,,,,4.69,1.85,0.26,
Russia,Sakhalin-2 LNG,Sakhalin ii lng terminal,,,,,,25.87,19.82,,19.33,23.83,22.87
Russia,Yamal LNG,Yamal lng terminal,,,,,,109.37,168.11,61.51,70.86,135.59,55.53
Trinidad and tobago,Atlantic LNG,Atlantic lng terminal,118.17,117.95,91.61,89.39,66.02,81.23,117.21,118.78,90.46,61.69,64.13
Turkmenistan,Kiyanly LNG,Kiyanly lng terminal,186.63,224,233.35,199.51,108.97,152.86,34.29,29.02,38.5,53.59,36.3
UAE,ADNOC LNG,Das island lng terminal,121.52,158.01,146.26,124.16,133.4,136.25,175.75,171.46,180.16,169.38,183.19
U.S.,Hialeah LNG,American lng hialeah terminal,,,,,,,,,,,
